idx,g_star,T_dec_GeV,delta_neff,T_1p3_K,excluded_planck,detectable_cmbs4
0,0.5,0.0001,0.9006233325974439,2.1797027182127655,True,True
1,0.5,0.016681005372000592,0.23383037077542515,1.5559179705084065,False,True
2,0.5,2.782559402207126,0.01455794471056684,0.7772066066559619,False,False
3,0.5,464.1588833612782,0.010955234857693973,0.723880521094427,False,False
4,0.5,77426.36826811278,0.010955234857693973,0.723880521094427,False,False
5,0.5,12915496.650148828,0.010955234857693973,0.723880521094427,False,False
6,0.5,2154434690.0318866,0.010955234857693973,0.723880521094427,False,False
7,0.5,359381366380.46405,0.010955234857693973,0.723880521094427,False,False
8,0.5,59948425031894.21,0.010955234857693973,0.723880521094427,False,False
9,0.5,1e+16,0.010955234857693973,0.723880521094427,False,False
10,5.375,0.0001,9.681700825422523,2.1797027182127655,True,True
11,5.375,0.016681005372000592,2.5136764858358207,1.5559179705084065,True,True
12,5.375,2.782559402207126,0.15649790563859356,0.7772066066559619,False,True
13,5.375,464.1588833612782,0.11776877472021022,0.723880521094427,False,True
14,5.375,77426.36826811278,0.11776877472021022,0.723880521094427,False,True
15,5.375,12915496.650148828,0.11776877472021022,0.723880521094427,False,True
16,5.375,2154434690.0318866,0.11776877472021022,0.723880521094427,False,True
17,5.375,359381366380.46405,0.11776877472021022,0.723880521094427,False,True
18,5.375,59948425031894.21,0.11776877472021022,0.723880521094427,False,True
19,5.375,1e+16,0.11776877472021022,0.723880521094427,False,True
20,10.25,0.0001,18.4627783182476,2.1797027182127655,True,True
21,10.25,0.016681005372000592,4.793522600896216,1.5559179705084065,True,True
22,10.25,2.782559402207126,0.2984378665666202,0.7772066066559619,False,True
23,10.25,464.1588833612782,0.22458231458272646,0.723880521094427,False,True
24,10.25,77426.36826811278,0.22458231458272646,0.723880521094427,False,True
25,10.25,12915496.650148828,0.22458231458272646,0.723880521094427,False,True
26,10.25,2154434690.0318866,0.22458231458272646,0.723880521094427,False,True
27,10.25,359381366380.46405,0.22458231458272646,0.723880521094427,False,True
28,10.25,59948425031894.21,0.22458231458272646,0.723880521094427,False,True
29,10.25,1e+16,0.22458231458272646,0.723880521094427,False,True
30,15.125,0.0001,27.243855811072677,2.1797027182127655,True,True
31,15.125,0.016681005372000592,7.073368715956611,1.5559179705084065,True,True
32,15.125,2.782559402207126,0.4403778274946469,0.7772066066559619,True,True
33,15.125,464.1588833612782,0.33139585444524267,0.723880521094427,True,True
34,15.125,77426.36826811278,0.33139585444524267,0.723880521094427,True,True
35,15.125,12915496.650148828,0.33139585444524267,0.723880521094427,True,True
36,15.125,2154434690.0318866,0.33139585444524267,0.723880521094427,True,True
37,15.125,359381366380.46405,0.33139585444524267,0.723880521094427,True,True
38,15.125,59948425031894.21,0.33139585444524267,0.723880521094427,True,True
39,15.125,1e+16,0.33139585444524267,0.723880521094427,True,True
40,20.0,0.0001,36.02493330389776,2.1797027182127655,True,True
41,20.0,0.016681005372000592,9.353214831017008,1.5559179705084065,True,True
42,20.0,2.782559402207126,0.5823177884226737,0.7772066066559619,True,True
43,20.0,464.1588833612782,0.43820939430775896,0.723880521094427,True,True
44,20.0,77426.36826811278,0.43820939430775896,0.723880521094427,True,True
45,20.0,12915496.650148828,0.43820939430775896,0.723880521094427,True,True
46,20.0,2154434690.0318866,0.43820939430775896,0.723880521094427,True,True
47,20.0,359381366380.46405,0.43820939430775896,0.723880521094427,True,True
48,20.0,59948425031894.21,0.43820939430775896,0.723880521094427,True,True
49,20.0,1e+16,0.43820939430775896,0.723880521094427,True,True
