idx,r_c,n,rho_0,success,error,r_match,M_match,p_central,rho_central,n_interior_points,overlap_integral,fractional_shift
1,0.01,1,0.00026826957952797245,False,r_max,,,,,,,
0,0.01,1,0.0001,False,r_max,,,,,,,
9,0.01,3,0.00026826957952797245,False,r_max,,,,,,,
8,0.01,3,0.0001,False,r_max,,,,,,,
7,0.01,1,0.1,False,integration_crashed,,,,,,,
6,0.01,1,0.03727593720314938,False,integration_crashed,,,,,,,
5,0.01,1,0.013894954943731374,False,integration_crashed,,,,,,,
4,0.01,1,0.005179474679231213,False,integration_crashed,,,,,,,
3,0.01,1,0.0019306977288832496,False,integration_crashed,,,,,,,
2,0.01,1,0.0007196856730011522,False,integration_crashed,,,,,,,
16,0.01,5,0.0001,False,r_max,,,,,,,
17,0.01,5,0.00026826957952797245,False,r_max,,,,,,,
10,0.01,3,0.0007196856730011522,False,integration_crashed,,,,,,,
11,0.01,3,0.0019306977288832496,False,integration_crashed,,,,,,,
13,0.01,3,0.013894954943731374,False,integration_crashed,,,,,,,
14,0.01,3,0.03727593720314938,False,integration_crashed,,,,,,,
15,0.01,3,0.1,False,integration_crashed,,,,,,,
12,0.01,3,0.005179474679231213,False,integration_crashed,,,,,,,
25,0.01,8,0.00026826957952797245,False,r_max,,,,,,,
24,0.01,8,0.0001,False,r_max,,,,,,,
19,0.01,5,0.0019306977288832496,False,integration_crashed,,,,,,,
18,0.01,5,0.0007196856730011522,False,integration_crashed,,,,,,,
20,0.01,5,0.005179474679231213,False,integration_crashed,,,,,,,
21,0.01,5,0.013894954943731374,False,integration_crashed,,,,,,,
22,0.01,5,0.03727593720314938,False,integration_crashed,,,,,,,
23,0.01,5,0.1,False,integration_crashed,,,,,,,
32,0.018957356524063752,1,0.0001,False,r_max,,,,,,,
33,0.018957356524063752,1,0.00026826957952797245,False,r_max,,,,,,,
27,0.01,8,0.0019306977288832496,False,integration_crashed,,,,,,,
26,0.01,8,0.0007196856730011522,False,integration_crashed,,,,,,,
28,0.01,8,0.005179474679231213,False,integration_crashed,,,,,,,
29,0.01,8,0.013894954943731374,False,integration_crashed,,,,,,,
30,0.01,8,0.03727593720314938,False,integration_crashed,,,,,,,
31,0.01,8,0.1,False,integration_crashed,,,,,,,
40,0.018957356524063752,3,0.0001,False,r_max,,,,,,,
41,0.018957356524063752,3,0.00026826957952797245,False,r_max,,,,,,,
34,0.018957356524063752,1,0.0007196856730011522,False,integration_crashed,,,,,,,
36,0.018957356524063752,1,0.005179474679231213,False,integration_crashed,,,,,,,
35,0.018957356524063752,1,0.0019306977288832496,False,integration_crashed,,,,,,,
38,0.018957356524063752,1,0.03727593720314938,False,integration_crashed,,,,,,,
37,0.018957356524063752,1,0.013894954943731374,False,integration_crashed,,,,,,,
39,0.018957356524063752,1,0.1,False,integration_crashed,,,,,,,
48,0.018957356524063752,5,0.0001,False,r_max,,,,,,,
49,0.018957356524063752,5,0.00026826957952797245,False,r_max,,,,,,,
42,0.018957356524063752,3,0.0007196856730011522,False,integration_crashed,,,,,,,
43,0.018957356524063752,3,0.0019306977288832496,False,integration_crashed,,,,,,,
44,0.018957356524063752,3,0.005179474679231213,False,integration_crashed,,,,,,,
45,0.018957356524063752,3,0.013894954943731374,False,integration_crashed,,,,,,,
46,0.018957356524063752,3,0.03727593720314938,False,integration_crashed,,,,,,,
47,0.018957356524063752,3,0.1,False,integration_crashed,,,,,,,
56,0.018957356524063752,8,0.0001,False,r_max,,,,,,,
57,0.018957356524063752,8,0.00026826957952797245,False,r_max,,,,,,,
51,0.018957356524063752,5,0.0019306977288832496,False,integration_crashed,,,,,,,
50,0.018957356524063752,5,0.0007196856730011522,False,integration_crashed,,,,,,,
52,0.018957356524063752,5,0.005179474679231213,False,integration_crashed,,,,,,,
54,0.018957356524063752,5,0.03727593720314938,False,integration_crashed,,,,,,,
55,0.018957356524063752,5,0.1,False,integration_crashed,,,,,,,
53,0.018957356524063752,5,0.013894954943731374,False,integration_crashed,,,,,,,
64,0.03593813663804628,1,0.0001,False,r_max,,,,,,,
65,0.03593813663804628,1,0.00026826957952797245,False,r_max,,,,,,,
59,0.018957356524063752,8,0.0019306977288832496,False,integration_crashed,,,,,,,
58,0.018957356524063752,8,0.0007196856730011522,False,integration_crashed,,,,,,,
60,0.018957356524063752,8,0.005179474679231213,False,integration_crashed,,,,,,,
61,0.018957356524063752,8,0.013894954943731374,False,integration_crashed,,,,,,,
62,0.018957356524063752,8,0.03727593720314938,False,integration_crashed,,,,,,,
63,0.018957356524063752,8,0.1,False,integration_crashed,,,,,,,
72,0.03593813663804628,3,0.0001,False,r_max,,,,,,,
73,0.03593813663804628,3,0.00026826957952797245,False,r_max,,,,,,,
68,0.03593813663804628,1,0.005179474679231213,False,integration_crashed,,,,,,,
66,0.03593813663804628,1,0.0007196856730011522,False,integration_crashed,,,,,,,
67,0.03593813663804628,1,0.0019306977288832496,False,integration_crashed,,,,,,,
69,0.03593813663804628,1,0.013894954943731374,False,integration_crashed,,,,,,,
70,0.03593813663804628,1,0.03727593720314938,False,integration_crashed,,,,,,,
71,0.03593813663804628,1,0.1,False,integration_crashed,,,,,,,
80,0.03593813663804628,5,0.0001,False,r_max,,,,,,,
81,0.03593813663804628,5,0.00026826957952797245,False,r_max,,,,,,,
75,0.03593813663804628,3,0.0019306977288832496,False,integration_crashed,,,,,,,
74,0.03593813663804628,3,0.0007196856730011522,False,integration_crashed,,,,,,,
78,0.03593813663804628,3,0.03727593720314938,False,integration_crashed,,,,,,,
79,0.03593813663804628,3,0.1,False,integration_crashed,,,,,,,
77,0.03593813663804628,3,0.013894954943731374,False,integration_crashed,,,,,,,
76,0.03593813663804628,3,0.005179474679231213,False,integration_crashed,,,,,,,
88,0.03593813663804628,8,0.0001,False,r_max,,,,,,,
89,0.03593813663804628,8,0.00026826957952797245,False,r_max,,,,,,,
82,0.03593813663804628,5,0.0007196856730011522,False,integration_crashed,,,,,,,
83,0.03593813663804628,5,0.0019306977288832496,False,integration_crashed,,,,,,,
85,0.03593813663804628,5,0.013894954943731374,False,integration_crashed,,,,,,,
84,0.03593813663804628,5,0.005179474679231213,False,integration_crashed,,,,,,,
87,0.03593813663804628,5,0.1,False,integration_crashed,,,,,,,
86,0.03593813663804628,5,0.03727593720314938,False,integration_crashed,,,,,,,
96,0.06812920690579616,1,0.0001,False,r_max,,,,,,,
97,0.06812920690579616,1,0.00026826957952797245,False,r_max,,,,,,,
91,0.03593813663804628,8,0.0019306977288832496,False,integration_crashed,,,,,,,
90,0.03593813663804628,8,0.0007196856730011522,False,integration_crashed,,,,,,,
92,0.03593813663804628,8,0.005179474679231213,False,integration_crashed,,,,,,,
93,0.03593813663804628,8,0.013894954943731374,False,integration_crashed,,,,,,,
94,0.03593813663804628,8,0.03727593720314938,False,integration_crashed,,,,,,,
95,0.03593813663804628,8,0.1,False,integration_crashed,,,,,,,
104,0.06812920690579616,3,0.0001,False,r_max,,,,,,,
105,0.06812920690579616,3,0.00026826957952797245,False,r_max,,,,,,,
99,0.06812920690579616,1,0.0019306977288832496,False,integration_crashed,,,,,,,
98,0.06812920690579616,1,0.0007196856730011522,False,integration_crashed,,,,,,,
100,0.06812920690579616,1,0.005179474679231213,False,integration_crashed,,,,,,,
101,0.06812920690579616,1,0.013894954943731374,False,integration_crashed,,,,,,,
102,0.06812920690579616,1,0.03727593720314938,False,integration_crashed,,,,,,,
103,0.06812920690579616,1,0.1,False,integration_crashed,,,,,,,
113,0.06812920690579616,5,0.00026826957952797245,False,r_max,,,,,,,
112,0.06812920690579616,5,0.0001,False,r_max,,,,,,,
107,0.06812920690579616,3,0.0019306977288832496,False,integration_crashed,,,,,,,
106,0.06812920690579616,3,0.0007196856730011522,False,integration_crashed,,,,,,,
